cnpj_basico;razao_social;endereco_completo;cep;ddd;tel;email;desc_porte;nomenclatura_natureza
07859305;BORGES ELETRO E DECORACAO LTDA;AVENIDA WASHINGTON LUIZ, 2382 - JARDIM PAULISTA;19023450;18;96738093;CELSOLBORGES@HOTMAIL.COM;ME - Micro Empresa;Sociedade Empresária Limitada
07940213;SORVETERIA BARROS E OLIVEIRA LTDA;AVENIDA MANOEL GOULART, 1441 - VILA CLAUDIA GLORIA;19015241;18;39063219;silene.eleuterio@hotmail.com;ME - Micro Empresa;Sociedade Empresária Limitada
08105138;CORREA - ACESSORIOS AUTOMOTIVOS E SERVICOS LTDA;AVENIDA PRESIDENTE JUSCELINO KUBITSCHEK, 5268 - JARDIM MARACANA;19026655;18;39063393;esc.alianca@terra.com.br;ME - Micro Empresa;Sociedade Empresária Limitada
04143388;HELP INFORMATICA SS LTDA;AVENIDA CORONEL JOSE SOARES MARCONDES, 1930 - VILA EUCLIDES;19010082;18;21040700;egarcia@escritoriogarcia.com.br;ME - Micro Empresa;Sociedade Simples Limitada
53128732;EMPRESA FUNERARIA PRUDENTINA LTDA;AVENIDA CEL JOSE S MARCONDES, 1905 - CENTRO;19010082;;;;ME - Micro Empresa;Sociedade Empresária Limitada
06702734;IVA MARQUES DELICIAS CONGELADAS LTDA;RUA IPEROIG, 190 - VILA MATHILDE VIEIRA;19050620;18;39026466;ESCVIG@ESCRITORIOVIGILANTE.COM.BR;ME - Micro Empresa;Sociedade Empresária Limitada
05309108;ALVES & CORAZA REPRESENTACOES LTDA; NAPOLEAO SANTOS MACHADO, 165 - JARDIM DAS ROSAS;19060190;;;;ME - Micro Empresa;Sociedade Empresária Limitada
05314214;STAR SOFTWARE S/S LTDA;RUA JOAO BRAZ MATHIAS, 251 - VILA GLORIA;19014190;18;32239981;ASSESSORIA@STAREMPRESARIAL.COM.BR;ME - Micro Empresa;Sociedade Simples Limitada
05334179;J.MARTIN ADMINISTRACAO, INCORPORACAO E PARTICIPACAO LTDA;RUA DR.JOSE FOZ, 189 - CENTRO;19010040;;;;ME - Micro Empresa;Sociedade Empresária Limitada
02025871;DROGARIA VELASQUES LTDA;RUA DOUTOR GURGEL, 191 - CENTRO;19010020;18;39045555;FARMACIASANTACATARINA2@GMAIL.COM;ME - Micro Empresa;Sociedade Empresária Limitada
02244065;KILAUEA BAR LTDA;RUA DIRCE GOMES, 52 - JD. DOS PIONEIROS;19050410;;;;ME - Micro Empresa;Sociedade Empresária Limitada
05961605;B. P. AVALIACOES E PERICIAS S/S LTDA;RUA NACOES UNIDAS, 650 - VILA ARISTARCHO;19013330;18;33111665;ORCA@DXNET.COM.BR;ME - Micro Empresa;Sociedade Simples Limitada
55352223;INDUSTRIAS QUIMICAS TRES PODERES  LTDA;RUA COMENDADOR JOAO PERETTI, 712 - VILA SANTA HELENA;19015610;18;97482024;LEGALIZACAO@TATICOCONTABILIDADE.COM.BR;ME - Micro Empresa;Sociedade Empresária Limitada
04583429;MADUREIRA CONFECCOES LTDA;RUA ARMANDO SALLES DE OLIVEIRA, 260 - JARDIM PAULISTA;19023390;;;;ME - Micro Empresa;Sociedade Empresária Limitada
02838075;L. C. GOUVEA COMERCIAL LTDA;RUA ABILIO NASCIMENTO, 360-A - VILA MARINA;19031000;018;2211397;;ME - Micro Empresa;Sociedade Empresária Limitada
02960637;SAWIL SERVICOS ADMINISTRATIVOS LTDA;RUA RUI BARBOSA, 811 - CENTRO;19015000;18;21049900;MARCELO@SAWIL.COM.BR;ME - Micro Empresa;Sociedade Simples Limitada
58293390;R B COMERCIO DE JOIAS LTDA;RUA  JOAQUIM NABUCO, 724 - CENTRO;19010071;18;32216290;AGATA.JOIAS@HOTMAIL.COM;ME - Micro Empresa;Sociedade Empresária Limitada
44867166;BAR MITAMURA LTDA;AVENIDA CORONEL MARCONDES, 2090 - VL GLORIA;19013050;;;;ME - Micro Empresa;Sociedade Empresária Limitada
62894910;CASH ASSESSORIA EMPRESARIAL LTDA;RUA SETE DE SETEMBRO, 361 - JARDIM AVIACAO;19020510;18;32731644;CASH.ASSESSORIA@GMAIL.COM;ME - Micro Empresa;Sociedade Empresária Limitada
45111572;BADALU'S PERFUMARIA E COSMETICOS LTDA;RUA RIBEIRO DE BARROS, 471 - JARDIM AVIACAO;19020430;;;;ME - Micro Empresa;Sociedade Empresária Limitada
64612203;SB-PRESTADORA DE SERVICOS SS LTDA;RUA OLENO DA CUNHA VIEIRA, 43 - VILA MACHADINHO;19020110;18;21041198;contratos@esclider.com.br;ME - Micro Empresa;Sociedade Simples Limitada
66806936;LIMP-FEST COMERCIO DE PRODUTOS P/LIMPEZA E REPRESENTACOES LTDA;RUA MARIA LUIZA BOSCOLI, 30 - JARDIM ITAPURA 1;19035100;18;39288030;MCLEBIS@MSN.COM;ME - Micro Empresa;Sociedade Empresária Limitada
51393452;SAN CONRADO IMOVEIS SC LTDA;RUA RUI BARBOSA, 164 - CENTRO;19010260;;;;ME - Micro Empresa;Sociedade Simples Limitada
53309043;J. A . LEILOES E PUBLICIDADE S/S LTDA;RODOVIA ASSIS CHATEAUBRIAND, S/N - BAIRRO AEROPORTO;19053680;018;2212199;;ME - Micro Empresa;Sociedade Simples Limitada
07641914;TRANS ECLIPSE TRANSPORTES LTDA;RUA JOSE AMERICO ZANGIROLAMI, 69 - JARDIM SANTA OLGA;19025561;18;97437844;JULIOFARIA2008@HOTMAIL.COM;ME - Micro Empresa;Sociedade Empresária Limitada
46858668;CONCRESS - ENGENHARIA DE CONCRETO LTDA.;RUA 4, 880 - DIST INDUSTRIAL;19043130;;;;ME - Micro Empresa;Sociedade Empresária Limitada
01921323;AGROAVICULTURA CENTRO LTDA;AVENIDA WASHINGTON LUIZ, 123 - CENTRO;19010090;18;32212947;AVICULTURA.CENTRO.PP@GMAIL.COM;ME - Micro Empresa;Sociedade Empresária Limitada
03929246;V. MARCHIORI SUPERMERCADO LTDA;AVENIDA JUSCELINO KUBITSCHEK DE OLIVEIRA-PRES, 1239 - JARDIM BALNEARIO;19014000;18;39061026;MERCADOTRANSFIGURACAO@HOTMAIL.COM;EPP - Empresa de Pequeno Porte;Sociedade Empresária Limitada
02523248;CACILDA MAGALHAES TOUR LTDA;RUA SIQUEIRA CAMPOS, 928 - VILA NOVA;19010062;18;32731408;acdinamico@hotmail.com;ME - Micro Empresa;Sociedade Empresária Limitada
07429033;KANEKO ALIMENTOS LTDA;RUA DJALMA DUTRA, 790 - VILA EUCLIDES;19015040;18;32219878;focuscon@terra.com.br;ME - Micro Empresa;Sociedade Empresária Limitada
07137234;FERRUSEG -  CORRETORA E ADMINISTRADORA DE SEGUROS LTDA;RUA SANTO BRUGNOLI, 226 - PARQUE RESIDENCIAL SAO LUCAS;19025160;18;21041198;CONTRATOS@ESCLIDER.COM.BR;ME - Micro Empresa;Sociedade Empresária Limitada
51394930;BELTERRA EMPREENDIMENTOS IMOBILIARIOS LTDA;RUA MAJOR FELICIO TARABAY, 812 - CENTRO;19010051;18;32222577;escripenha@terra.com.br;ME - Micro Empresa;Sociedade Empresária Limitada
03444704;PRO HORSE SHOP COMERCIO DE ARTIGOS EM COURO IMPORTACAO E EXPORTACAO LTDA;RUA VICENTE MELE, 73 - DIST IN MARIO AMATO;19064200;18;39078444;GUIMARAES@GUIMARAESCONTABILIDADE.NET;ME - Micro Empresa;Sociedade Empresária Limitada
57071284;CELIZA REPRESENTACOES S/S LTDA;AVENIDA ONZE DE MAIO, 2137 - JARDIM CAICARA;19061360;18;97713372;CELIZAREPRESENTACOES@GMAIL.COM;EPP - Empresa de Pequeno Porte;Sociedade Simples Limitada
02354956;BLISS CURSOS DE IDIOMAS LTDA;RUA RUI BARBOSA, 180 - CENTRO;19015000;11;31515414;DIEGO@MTMASSESSORIACONTABIL.COM.BR;ME - Micro Empresa;Sociedade Empresária Limitada
55333884;PAP'S COMERCIO E RECUPERADORA DE BOMBAS SUBMERSA LTDA;AVENIDA JOSE MOISES FERREIRA, 657 - DISTR INDUSTRIAL;19043120;;;;EPP - Empresa de Pequeno Porte;Sociedade Empresária Limitada
74398579;JULIO KITAMURA LTDA;AVENIDA JOSE SOARES MARCONDES-CEL, 1427 - CENTRO;19010081;18;32219776;ASSESSORIA@STAREMPRESARIAL.COM.BR;EPP - Empresa de Pequeno Porte;Sociedade Empresária Limitada
56807977;ADMINISTRADORA DE BENS DO VALLE S/C LTDA;RUA DR. JOSE FOZ, 0085 - BOSQUE;19010040;;;;ME - Micro Empresa;Sociedade Simples Limitada
06995064;MONFRE & MONFRE DISTRIBUIDORA DE PECAS AUTOMOTIVAS LTDA;RUA PROFESSOR ARISTEU SANTOS DE OLIVEIRA, 64 - RESIDENCIAL FLORENZA;19062170;18;39161488;LUISMONFRE@HOTMAIL.COM;ME - Micro Empresa;Sociedade Empresária Limitada
63973424;M C H COMERCIO DE CONFECCOES LTDA;RUA JULIO PRESTES, 750 - VILA MACHADINHO;19020440;;;;ME - Micro Empresa;Sociedade Empresária Limitada
47443734;COMERCIAL PAI CHAO LTDA;AVENIDA WASHINGTON LUIZ, 442 - CENTRO;19010090;;;;ME - Micro Empresa;Sociedade Empresária Limitada
65780140;ANDREA FESTAS DE PRESIDENTE PRUDENTE LTDA;RUA MAJOR FELICIO TARABAY, 674 - CENTRO;19010051;18;39085857;CONTABIL@BARALDOCONTABILIDADE.COM.BR;ME - Micro Empresa;Sociedade Empresária Limitada
07635688;ADITUS CORRETORA DE SEGUROS LTDA;RUA SETE DE SETEMBRO, 1734 - VILA ESTADIO;19015080;18;2242752;;EPP - Empresa de Pequeno Porte;Sociedade Empresária Limitada
07972738;LP VET COMERCIO DE PRODUTOS VETERINARIOS LTDA;RUA FLORIANO MARCONDES, 47 - JARDIM ESTORIL;19024050;18;97720073;LPRAMOSG@YAHOO.COM.BR;ME - Micro Empresa;Sociedade Empresária Limitada
06101202;NATURAMA COSMETICOS LTDA;RUA DOZE DE OUTUBRO, 204 - JARDIM AVIACAO;19020520;18;39283040;ESCRITORIOINTERNACIONALPP@GMAIL.COM;ME - Micro Empresa;Sociedade Empresária Limitada
05311494;MERCADO FERNANDA MARTINS LTDA;RUA CERATA DONZELI BONGIOVANI, 649 - JD.NOVO BONGIOVANI;19026725;18;39074557;MERCADONOSSACASANFE@GMAIL.COM;ME - Micro Empresa;Sociedade Empresária Limitada
56642218;GULA S ROTISSERIA E LANCHES LTDA;RUA SIQUEIRA CAMPOS, 1545 - VL S JORGE;19013030;18;32233003;;EPP - Empresa de Pequeno Porte;Sociedade Empresária Limitada
07453041;PARQUE COMERCIO DE RACOES LTDA;RUA BELA, 1188 - VILA CLAUDIA GLORIA;19015261;18;32214122;PPRACOES@GMAIL.COM;EPP - Empresa de Pequeno Porte;Sociedade Empresária Limitada
00433100;A. S. PEREIRA GRAFICA E EDITORA LTDA;AVENIDA CIDADE FUKUYAMA, 639 - CONJUNTO HABITACIONAL ANA JACINTA;19064210;18;33111665;COMPRAS@GRAFICAIMPRESS.COM.BR;EPP - Empresa de Pequeno Porte;Sociedade Empresária Limitada
08110668;FERNANDES APOIO ADMINISTRATIVO LTDA;RUA CLAUDIONOR SANDOVAL, 330 - JARDIM PAULISTA;19023200;18;96514743;LIGA@LIGAEMPRESARIAL.COM.BR;ME - Micro Empresa;Sociedade Empresária Limitada
56770241;QUISSI MOVEIS PLANEJADOS LTDA;AVENIDA ADEMAR DE BARROS, 263 - JARDIM AVIACAO;19020350;18;97095473;;ME - Micro Empresa;Sociedade Empresária Limitada
